timestamp_s,x,y,z
1403636856.829881191,4.687084,-1.936872,0.687708
1403636856.879881382,4.687074,-1.936887,0.687685
1403636856.929881334,4.687983,-1.937267,0.687511
1403636857.080881357,4.687084,-1.936864,0.687687
1403636857.130881310,4.687076,-1.936881,0.687679
1403636857.181881189,4.687084,-1.936865,0.687692
1403636857.278881311,4.687090,-1.936851,0.687693
1403636857.327881336,4.687089,-1.936845,0.687671
1403636857.428881168,4.687091,-1.936860,0.687717
1403636857.478881359,4.687093,-1.936845,0.687694
1403636857.529881239,4.687978,-1.937287,0.687532
1403636857.627881289,4.687119,-1.936798,0.687732
1403636857.731881380,4.687100,-1.936833,0.687703
1403636857.782881260,4.687095,-1.936840,0.687692
1403636857.831881285,4.688026,-1.937174,0.687541
1403636857.882881403,4.687114,-1.936803,0.687717
1403636857.979881287,4.687115,-1.936803,0.687718
1403636858.030881405,4.687127,-1.936785,0.687744
1403636858.078881264,4.687113,-1.936818,0.687745
1403636858.129881382,4.687116,-1.936811,0.687744
1403636858.177881241,4.687095,-1.936851,0.687720
1403636858.227881193,4.687133,-1.936779,0.687768
1403636858.278881311,4.687099,-1.936852,0.687742
1403636858.327881336,4.687100,-1.936839,0.687720
1403636858.379881382,4.687109,-1.936838,0.687771
1403636858.477881193,4.687154,-1.936795,0.687926
1403636858.529881239,4.687185,-1.936765,0.688035
1403636858.580881357,4.687196,-1.936783,0.688137
1403636858.631881237,4.687245,-1.936765,0.688382
1403636858.730881214,4.687475,-1.936325,0.688660
1403636858.782881260,4.686926,-1.935229,0.689205
1403636858.832881212,4.688195,-1.935023,0.689716
1403636858.878881216,4.687895,-1.933747,0.691268
1403636858.930881262,4.689057,-1.932093,0.694059
1403636858.980881214,4.690783,-1.929545,0.698012
1403636859.032881260,4.692236,-1.925812,0.703960
1403636859.080881357,4.693008,-1.921469,0.710942
1403636859.179881334,4.695234,-1.912020,0.727414
1403636859.232881308,4.696781,-1.906710,0.737025
1403636859.330881357,4.699226,-1.896466,0.753595
1403636859.379881382,4.698377,-1.891007,0.761882
1403636859.478881359,4.701772,-1.884945,0.782135
1403636859.529881239,4.702580,-1.882728,0.795999
1403636859.578881264,4.703553,-1.880692,0.811762
1403636859.630881310,4.703958,-1.878333,0.830619
1403636859.679881334,4.703418,-1.876031,0.851204
1403636859.728881359,4.697139,-1.872162,0.873535
1403636859.779881239,4.695320,-1.870726,0.896685
1403636859.831881285,4.693391,-1.869591,0.920801
1403636859.879881382,4.692773,-1.869556,0.942420
1403636859.929881334,4.692127,-1.869506,0.964594
1403636859.980881214,4.691068,-1.870107,0.986304
1403636860.031881332,4.690026,-1.870336,1.007704
1403636860.079881191,4.688669,-1.870412,1.026321
1403636860.131881237,4.689263,-1.870438,1.043312
1403636860.232881308,4.689865,-1.867744,1.061004
1403636860.280881405,4.691552,-1.865560,1.058215
1403636860.478881359,4.704006,-1.860283,0.979968
1403636860.831881285,4.695378,-1.848587,0.817244
1403636860.876881361,4.699952,-1.849922,0.807628
1403636860.928881168,4.701248,-1.850644,0.803638
1403636860.977881193,4.703278,-1.851753,0.805640
1403636861.478881359,4.708082,-1.844698,1.054626
1403636861.579881191,4.710181,-1.841465,1.099934
1403636861.631881237,4.710675,-1.840029,1.111995
1403636861.677881241,4.710372,-1.838840,1.115766
1403636862.231881380,4.703046,-1.844061,0.867060
1403636862.281881332,4.701418,-1.845624,0.843856
1403636862.327881336,4.701600,-1.847004,0.825992
1403636862.381881237,4.701269,-1.848162,0.811880
1403636862.430881262,4.701048,-1.849209,0.805803
1403636863.130881310,4.693887,-1.838672,1.166927
1403636863.181881189,4.696837,-1.839055,1.180566
1403636863.230881214,4.699010,-1.839650,1.184324
1403636863.829881191,4.704868,-1.846541,0.863702
1403636863.929881334,4.703097,-1.844027,0.820741
1403636863.979881287,4.703823,-1.843716,0.809997
1403636864.581881285,4.701699,-1.841995,1.116983
1403636864.678881168,4.701458,-1.843017,1.161144
1403636864.730881214,4.701269,-1.843371,1.175694
1403636864.778881311,4.702255,-1.844675,1.181852
1403636865.229881287,4.695631,-1.849205,0.981974
1403636865.430881262,4.692271,-1.842489,0.879036
1403636865.479881287,4.692470,-1.841845,0.862486
1403636865.530881405,4.692640,-1.842134,0.848771
1403636865.582881212,4.692115,-1.842997,0.839688
1403636865.631881237,4.691450,-1.843818,0.837265
1403636866.230881214,4.695302,-1.855741,1.145591
1403636866.379881382,4.701245,-1.859422,1.205946
1403636866.429881334,4.703244,-1.860879,1.212754
1403636866.929881334,4.700357,-1.851846,1.015782
1403636867.028881311,4.700804,-1.846888,0.981437
1403636867.082881212,4.702934,-1.845249,0.965768
1403636867.129881382,4.705065,-1.844559,0.953752
1403636867.179881334,4.706163,-1.844262,0.943684
1403636867.233881235,4.710045,-1.845693,0.935617
1403636867.277881384,4.712469,-1.846313,0.930836
1403636867.329881191,4.716122,-1.847057,0.927703
1403636867.378881216,4.719871,-1.848023,0.926095
1403636867.428881168,4.723786,-1.849043,0.926021
1403636867.479881287,4.726912,-1.849759,0.927372
1403636867.529881239,4.730003,-1.850863,0.929697
1403636867.580881357,4.733884,-1.852946,0.932808
1403636867.632881403,4.735897,-1.854588,0.936959
1403636867.677881241,4.735977,-1.855362,0.940188
1403636867.729881287,4.736068,-1.855867,0.942640
1403636867.780881405,4.734495,-1.854762,0.943957
1403636867.832881212,4.733725,-1.854033,0.944164
1403636867.877881289,4.730917,-1.852676,0.943335
1403636867.928881168,4.728053,-1.851203,0.941637
1403636868.033881187,4.721696,-1.847381,0.939188
1403636868.077881336,4.720921,-1.846681,0.939448
1403636868.179881334,4.721146,-1.847515,0.944114
1403636868.232881308,4.723073,-1.849004,0.947091
1403636868.329881191,4.726866,-1.851538,0.951070
1403636868.379881382,4.731479,-1.853726,0.951667
1403636868.478881359,4.735413,-1.857645,0.952257
1403636868.529881239,4.737561,-1.860455,0.952342
1403636868.580881357,4.739217,-1.864532,0.952483
1403636868.630881310,4.741737,-1.869343,0.953276
1403636868.680881262,4.744221,-1.874510,0.954990
1403636868.731881380,4.750628,-1.880850,0.957287
1403636868.781881332,4.753594,-1.885035,0.959899
